as_of,B17384,B17699,B20964,B01744,B08402,B23912,B22059,B19627,B16243,B02619,B18401,B03978,B11248,B02032,B06898,B18684,B22456,B18227,B14031,B21962,B05847,B01860,B06218,B08639,B01779,B00612,B11030,B00725,B22079,B21243,B20869,B13224,B00240,B23644,B24012,B12375,B13845,B03016,B21659,B17110,B11231,B14035,B01206,B23147,B07393,B12216,B23177,B08486,B26001,B15791
1999-12-31,11.9624,12.4748,,15.4916,,,14.7834,,,,15.393,,,,,15.4744,22.4854,,21.5592,,25.5479,,23.6573,,,,,,,,,,,14.0819,14.0848,13.9501,,,24.464,9.97625,,,,,11.8382,54.1408,9.95844,33.9706,11.4938,10.023
2000-01-01,11.9624,12.4748,,15.4916,,,14.7834,,,,15.393,,,,,15.4744,22.4854,,21.5592,,25.5479,,23.6573,5.84756,,,,,,,,,,14.0819,14.0848,13.9501,,,24.464,9.97625,,,,,11.8382,54.1408,9.95844,33.9706,11.4938,10.023
2000-01-02,11.9624,12.4748,,15.4916,,,14.7834,,,,15.393,,,,,15.4744,22.4854,,21.5592,,25.5479,,23.6573,5.84756,,,,,,,,,,14.0819,14.0848,13.9501,,,24.464,9.97625,,,,,11.8382,54.1408,9.95844,33.9706,11.4938,10.023
2000-01-03,11.9036,12.417,,15.4095,,,14.7079,,,,15.3414,,,,,15.4301,22.3842,,21.4436,,25.4068,,23.5623,5.81421,,,,,,,,,,14.0377,14.0185,13.8892,,,24.3434,9.9462,,,,,11.8015,53.9689,9.92805,33.7792,11.4455,10.0028
2000-01-04,11.967,12.4574,,15.463,,,14.7568,,,,15.3543,,,,,15.4638,22.325,,21.5158,,25.4951,,23.633,5.83251,,,,,,,,,,14.0672,14.0803,13.9349,,,24.397,9.96623,,,,,11.8137,54.0089,9.95844,33.8508,11.4697,10.023
2000-01-05,11.9036,12.3956,,15.3809,,,14.6969,,,,15.3156,,,,,15.4039,22.3078,,21.4148,,25.4014,,23.538,5.81062,,,,,,,,,,14.023,14.0088,13.8739,,,24.3013,9.93618,,,,,11.7648,53.7781,9.92805,33.7252,11.4335,10.0028
2000-01-06,11.9416,12.436,,15.4175,,,14.7303,,,,15.3543,,,,,15.422,22.3535,,21.4725,,25.4757,,23.5755,5.82891,,,,,,,,,,14.0525,14.041,13.9197,,,24.3798,9.9462,,,,,11.7893,53.9077,9.93818,33.797,11.4576,10.023
2000-01-07,11.967,12.4678,,15.4594,,,14.7636,,,,15.3801,,,,,15.4606,22.4488,,21.5158,,25.522,,23.655,5.84145,,,,,,,,,,14.0672,14.088,13.9501,,,24.4335,9.96623,,,,,11.8137,54.0561,9.95844,33.8687,11.4697,10.023
2000-01-08,11.967,12.4678,,15.4594,,,14.7636,,,,15.3801,,,,,15.4606,22.4488,,21.5158,,25.522,,23.655,5.84145,,,,,,,,,,14.0672,14.088,13.9501,,,24.4335,9.96623,,,,,11.8137,54.0561,9.95844,33.8687,11.4697,10.023
2000-01-09,11.967,12.4678,,15.4594,,,14.7636,,,,15.3801,,,,,15.4606,22.4488,,21.5158,,25.522,,23.655,5.84145,,,,,,,,,,14.0672,14.088,13.9501,,,24.4335,9.96623,,,,,11.8137,54.0561,9.95844,33.8687,11.4697,10.023
2000-01-10,11.9543,12.4444,,15.4282,,,14.7348,,,,15.3543,,,,,15.4474,22.4316,,21.4725,,25.4929,,23.5931,5.83105,,,,,,,,,,14.0525,14.0513,13.9349,,,24.3877,9.9462,,,,,11.7893,53.9454,9.94831,33.8089,11.4576,10.023
2000-01-11,11.9036,12.3825,,15.363,,,14.6593,,,,15.3027,,,,,15.4032,22.3304,,21.3714,,25.3852,,23.498,5.80917,,,,,,,,,,14.0082,13.9798,13.8739,,,24.2673,9.91615,,,,,11.7281,53.7145,9.91792,33.6833,11.4214,10.0028
2000-01-12,11.8783,12.3781,,15.3487,,,14.646,,,,15.2769,,,,,15.3901,22.2922,,21.3281,,25.3475,,23.4692,5.79877,,,,,,,,,,14.0082,13.9528,13.8434,,,24.2464,9.90614,,,,,11.7159,53.6439,9.90779,33.6234,11.4094,10.0028
2000-01-13,11.929,12.4185,,15.4023,,,14.7104,,,,15.3285,,,,,15.4237,22.3589,,21.4148,,25.4498,,23.573,5.82279,,,,,,,,,,14.0377,14.0294,13.9197,,,24.3499,9.92617,,,,,11.7403,53.8135,9.92805,33.7609,11.4455,10.0129
2000-01-14,11.9036,12.4013,,15.379,,,14.6816,,,,15.3156,,,,,15.4178,22.3111,,21.3714,,25.3701,,23.5242,5.81239,,,,,,,,,,14.0377,13.9875,13.8739,,,24.3041,9.91615,,,,,11.7159,53.7711,9.90779,33.701,11.4214,10.0129
2000-01-15,11.9036,12.4013,,15.379,,,14.6816,,,,15.3156,,,,,15.4178,22.3111,,21.3714,,25.3701,,23.5242,5.81239,,,,,,,,,,14.0377,13.9875,13.8739,,,24.3041,9.91615,,,,,11.7159,53.7711,9.90779,33.701,11.4214,10.0129
2000-01-16,11.9036,12.4013,,15.379,,,14.6816,,,,15.3156,,,,,15.4178,22.3111,,21.3714,,25.3701,,23.5242,5.81239,,,,,,,,,,14.0377,13.9875,13.8739,,,24.3041,9.91615,,,,,11.7159,53.7711,9.90779,33.701,11.4214,10.0129
2000-01-17,11.9036,12.4013,,15.3826,,,14.6824,,,,15.3156,,,,,15.4211,22.3161,,21.3714,,25.3829,,23.53,5.81346,,,,,,,,,,14.0377,13.9952,13.8739,,,24.3055,9.91615,,,,,11.7159,53.7711,9.90779,33.7069,11.4214,10.0129
2000-01-18,11.8657,12.365,,15.3344,,,14.6379,,,,15.2898,,,,,15.408,22.2569,,21.3281,,25.3442,,23.4681,5.79727,,,,,,,,,,14.0082,13.9611,13.8587,,,24.2846,9.89612,,,,,11.6914,53.6204,9.88752,33.6141,11.4094,10.0028
2000-01-19,11.891,12.3926,,15.354,,,14.6713,,,,15.3027,,,,,15.4104,22.2817,,21.357,,25.3764,,23.5056,5.804,,,,,,,,,,14.023,13.9785,13.8892,,,24.2887,9.89612,,,,,11.7037,53.6698,9.89765,33.6526,11.4214,10.0129
2000-01-20,11.8657,12.3818,,15.3397,,,14.6424,,,,15.2898,,,,,15.3941,22.2435,,21.3137,,25.3528,,23.5099,5.79932,,,,,,,,,,14.0082,13.9514,13.8739,,,24.2928,9.89612,,,,,11.6792,53.5992,9.87739,33.5927,11.3973,10.0028
2000-01-21,11.8783,12.3878,,15.3647,,,14.6602,,,,15.2898,,,,,15.401,22.2549,,21.3137,,25.3571,,23.4996,5.8004,,,,,,,,,,14.0082,13.954,13.8739,,,24.2969,9.8861,,,,,11.6792,53.6275,9.87739,33.6313,11.3973,10.0129
2000-01-22,11.8783,12.3878,,15.3647,,,14.6602,,,,15.2898,,,,,15.401,22.2549,,21.3137,,25.3571,,23.4996,5.8004,,,,,,,,,,14.0082,13.954,13.8739,,,24.2969,9.8861,,,,,11.6792,53.6275,9.87739,33.6313,11.3973,10.0129
2000-01-23,11.8783,12.3878,,15.3647,,,14.6602,,,,15.2898,,,,,15.401,22.2549,,21.3137,,25.3571,,23.4996,5.8004,,,,,,,,,,14.0082,13.954,13.8739,,,24.2969,9.8861,,,,,11.6792,53.6275,9.87739,33.6313,11.3973,10.0129
2000-01-24,11.9416,12.4282,,15.4183,,,14.7247,,,,15.3414,,,,,15.4347,22.2587,,21.4148,,25.4679,,23.575,5.82445,,,,,,,,,,14.0525,14.0359,13.9349,,,24.4005,9.91615,,,,,11.7159,53.8371,9.92805,33.7686,11.4335,10.023
2000-01-25,11.9543,12.443,,15.4379,,,14.7269,,,,15.3543,,,,,15.4683,22.2625,,21.4292,,25.4862,,23.5794,5.82554,,,,,,,,,,14.0082,14.0385,13.9349,,,24.4294,9.91615,,,,,11.7281,53.8466,9.92805,33.7744,11.4335,10.023
2000-01-26,11.967,12.4706,,15.4576,,,14.7291,,,,15.3543,,,,,15.455,22.2663,,21.4148,,25.5046,,23.6171,5.83236,,,,,,,,,,13.9935,14.0411,13.9501,,,24.4585,9.90614,,,,,11.7281,53.896,9.92805,33.8131,11.4214,10.023
2000-01-27,11.9796,12.4982,,15.4602,,,14.7313,,,,15.3543,,,,,15.4573,22.2492,,21.4148,,25.5089,,23.6215,5.83345,,,,,,,,,,13.9935,14.0437,13.9654,,,24.4625,9.89612,,,,,11.7159,53.8654,9.92805,33.7862,11.4094,10.023
2000-01-28,12.0049,12.517,,15.4852,,,14.7336,,,,15.3285,,,,,15.4642,22.1767,,21.4003,,25.5412,,23.6345,5.84026,,,,,,,,,,13.9935,14.0611,13.9806,,,24.4667,9.90614,,,,,11.7159,53.8136,9.92805,33.792,11.4094,10.023
