,as_of,ask_id,credit_qual_a_pct,credit_qual_aa_pct,credit_qual_aaa_pct,credit_qual_b_pct,credit_qual_bb_pct,credit_qual_bbb_pct,credit_qual_below_b_pct,credit_qual_not_rated_pct
0,2017-03,B00240,25.19,28.42,28.89,1.68,1.24,12.8,0.44,1.32
1,2017-06,B00240,13.85,19.12,5.16,10.28,8.88,18.29,3.2,21.21
2,2017-09,B00240,16.35,19.2,5.67,8.65,7.83,17.21,2.83,22.25
3,2018-02,B00240,26.03,29.83,27.51,1.98,1.17,10.73,0.75,2.0
4,2018-05,B00240,3.87,7.0,3.57,11.59,18.11,11.37,3.15,41.33
5,2018-08,B00240,14.23,30.95,12.26,3.11,5.0,11.37,1.32,21.77
6,2019-01,B00240,16.2,44.36,29.6,1.32,1.06,4.15,0.27,3.03
7,2019-02,B00240,15.66,35.58,13.08,2.8,5.23,8.96,1.92,16.77
8,2019-06,B00240,15.91,37.75,11.93,2.4,4.68,8.52,2.19,16.62
9,2019-08,B00240,17.34,41.51,12.75,1.93,4.0,7.9,1.8,12.78
10,2019-11,B00240,16.39,34.19,10.81,2.91,5.5,9.92,2.12,18.16
11,2020-03,B00240,17.8,36.8,10.03,1.97,5.13,10.5,2.03,15.74
12,2020-06,B00240,22.45,44.82,11.63,0.78,2.91,9.48,0.6,7.33
13,2020-09,B00240,23.21,39.62,11.67,0.95,3.88,10.87,0.51,9.29
14,2001-12,B00612,2.0,0.0,84.0,0.0,0.0,14.0,0.0,0.0
15,2002-03,B00612,4.0,0.0,91.0,0.0,0.0,5.0,0.0,0.0
16,2002-06,B00612,4.0,1.0,85.0,0.0,0.0,10.0,0.0,0.0
17,2002-09,B00612,3.0,2.0,84.0,0.0,0.0,11.0,0.0,0.0
18,2002-12,B00612,3.0,2.0,80.0,0.0,6.0,9.0,0.0,0.0
19,2003-03,B00612,4.0,2.0,84.0,0.0,4.0,6.0,0.0,0.0
20,2003-06,B00612,2.0,5.0,82.0,0.0,3.0,8.0,0.0,0.0
21,2003-09,B00612,4.0,4.0,85.0,0.0,2.0,5.0,0.0,0.0
22,2003-12,B00612,6.0,4.0,85.0,0.0,0.0,5.0,0.0,0.0
23,2004-03,B00612,6.0,5.0,83.0,0.0,0.0,6.0,0.0,0.0
24,2004-06,B00612,5.0,5.0,84.0,0.0,0.0,6.0,0.0,0.0
25,2004-09,B00612,6.0,4.0,85.0,0.0,0.0,5.0,0.0,0.0
26,2004-12,B00612,6.0,4.0,81.0,0.0,0.0,9.0,0.0,0.0
27,2005-03,B00612,7.0,5.0,80.0,0.0,0.0,8.0,0.0,0.0
28,2005-06,B00612,7.0,5.0,80.0,0.0,0.0,8.0,0.0,0.0
29,2005-09,B00612,5.0,5.0,83.0,0.0,0.0,7.0,0.0,0.0
30,2005-12,B00612,4.0,2.0,88.0,0.0,0.0,6.0,0.0,0.0
31,2006-03,B00612,5.0,4.0,85.0,0.0,0.0,6.0,0.0,0.0
32,2006-06,B00612,5.0,3.0,87.0,0.0,0.0,5.0,0.0,0.0
33,2006-09,B00612,5.0,3.0,86.0,0.0,1.0,5.0,0.0,0.0
34,2006-12,B00612,4.0,3.0,87.0,0.0,0.0,6.0,0.0,0.0
35,2007-03,B00612,4.0,3.0,88.0,0.0,0.0,5.0,0.0,0.0
36,2007-06,B00612,3.0,2.0,92.0,0.0,0.0,3.0,0.0,0.0
37,2007-09,B00612,7.0,9.0,75.0,0.0,0.0,9.0,0.0,0.0
38,2007-12,B00612,10.0,12.0,58.0,0.0,0.0,20.0,0.0,0.0
39,2008-03,B00612,10.0,11.0,66.0,0.0,0.0,13.0,0.0,0.0
40,2008-06,B00612,7.0,8.0,68.0,0.0,0.0,17.0,0.0,0.0
41,2008-09,B00612,14.0,16.0,56.0,0.0,0.0,14.0,0.0,0.0
42,2008-12,B00612,20.0,14.0,49.0,0.0,0.0,17.0,0.0,0.0
43,2009-03,B00612,21.0,6.0,48.0,0.0,4.0,21.0,0.0,0.0
44,2009-06,B00612,30.7,12.1,34.3,0.0,1.2,21.7,0.0,0.0
45,2009-09,B00612,13.3,7.1,61.3,0.0,1.6,16.7,0.0,0.0
46,2009-12,B00612,6.5,1.6,83.6,0.0,0.0,8.3,0.0,0.0
