,as_of,ask_id,modified_duration,yield_to_maturity
0,2016-11,B00240,,
1,2017-02,B00240,,2.1
2,2017-05,B00240,7.21,4.97
3,2017-08,B00240,6.2,4.82
4,2017-11,B00240,5.84,4.88
5,2018-02,B00240,,2.55
6,2018-05,B00240,5.81,5.31
7,2018-08,B00240,6.14,4.58
8,2018-11,B00240,,4.31
9,2019-02,B00240,,4.64
10,2019-05,B00240,12.43,4.43
11,2019-08,B00240,,4.17
12,2019-11,B00240,,4.46
13,2020-02,B00240,,4.11
14,2020-05,B00240,,
15,2020-08,B00240,,
16,2001-12,B00612,,
17,2002-03,B00612,,
18,2002-06,B00612,,
19,2002-09,B00612,,
20,2002-12,B00612,,
21,2003-03,B00612,,
22,2003-06,B00612,,
23,2003-09,B00612,,
24,2003-12,B00612,,
25,2004-03,B00612,,
26,2004-06,B00612,,
27,2004-09,B00612,,
28,2004-12,B00612,,
29,2005-03,B00612,,
30,2005-06,B00612,,
31,2005-09,B00612,,
32,2005-12,B00612,,
33,2006-03,B00612,,
34,2006-06,B00612,,
35,2006-09,B00612,,
36,2006-12,B00612,,
37,2007-03,B00612,,
38,2007-06,B00612,,
39,2007-09,B00612,,
40,2007-12,B00612,,
41,2008-03,B00612,,
42,2008-06,B00612,,
43,2008-09,B00612,,
44,2008-12,B00612,,
45,2009-03,B00612,,
46,2009-06,B00612,,7.93
47,2009-09,B00612,,
48,2009-12,B00612,,
49,2010-03,B00612,,
50,2010-06,B00612,,
51,2010-09,B00612,,
52,2010-12,B00612,,2.88
53,2011-06,B00612,,
54,2011-09,B00612,,
55,2011-12,B00612,,
56,2012-01,B00612,4.9,
57,2012-02,B00612,4.9,
58,2012-03,B00612,4.9,
59,2012-04,B00612,,
60,2012-05,B00612,,
61,2012-06,B00612,,
62,2012-07,B00612,4.0,
63,2012-08,B00612,4.0,
64,2012-09,B00612,4.0,1.67
65,2012-10,B00612,3.2,1.74
66,2012-11,B00612,3.2,1.5
67,2012-12,B00612,3.2,1.28
68,2013-01,B00612,,1.68
69,2013-02,B00612,,1.57
70,2013-03,B00612,,1.15
71,2013-04,B00612,,1.42
72,2013-05,B00612,,1.65
73,2013-06,B00612,,1.9
74,2013-07,B00612,,1.89
75,2013-08,B00612,,2.04
76,2013-09,B00612,,1.62
77,2013-10,B00612,,1.48
78,2013-11,B00612,,1.48
79,2013-12,B00612,,1.86
80,2014-01,B00612,,
81,2014-02,B00612,,1.7
82,2014-03,B00612,,
83,2014-04,B00612,,
84,2014-05,B00612,,
85,2014-06,B00612,,
86,2014-07,B00612,,1.34
87,2014-08,B00612,,1.07
88,2014-09,B00612,,1.14
89,2014-10,B00612,,1.15
90,2014-11,B00612,,1.16
91,2014-12,B00612,,1.46
92,2015-01,B00612,,1.11
93,2015-02,B00612,,1.73
94,2015-03,B00612,,1.5
95,2015-04,B00612,,1.49
96,2015-05,B00612,,1.83
97,2015-06,B00612,,1.93
98,2015-07,B00612,,1.94
99,2015-08,B00612,,1.98
100,2015-09,B00612,,1.69
101,2015-10,B00612,,1.99
102,2015-11,B00612,,2.13
103,2015-12,B00612,,2.29
104,2016-01,B00612,7.1,2.14
105,2016-02,B00612,7.1,2.18
106,2016-03,B00612,7.1,1.99
107,2016-04,B00612,,1.92
108,2016-05,B00612,,1.91
109,2016-06,B00612,,1.59
110,2016-07,B00612,,1.65
111,2016-08,B00612,,1.9
112,2016-09,B00612,,1.89
113,2016-10,B00612,,1.99
114,2016-11,B00612,,2.23
115,2016-12,B00612,,2.28
116,2017-01,B00612,,2.46
117,2017-02,B00612,,2.22
118,2017-03,B00612,,2.29
119,2017-04,B00612,,2.25
120,2017-05,B00612,,2.17
121,2017-06,B00612,,2.21
122,2017-07,B00612,,2.21
123,2017-08,B00612,,2.12
124,2017-09,B00612,,2.2
125,2017-10,B00612,,2.37
126,2017-12,B00612,,2.48
127,2018-03,B00612,,2.83
128,2018-06,B00612,,2.95
129,2018-09,B00612,,3.14
130,2018-12,B00612,,2.9
131,2019-03,B00612,,2.71
132,2019-06,B00612,,2.56
133,2019-09,B00612,,2.31
134,2019-12,B00612,,2.39
135,2020-03,B00612,,3.13
136,2020-06,B00612,,
137,2020-09,B00612,,
138,2005-01,B00725,,
139,2005-03,B00725,,
140,2005-04,B00725,,
141,2005-05,B00725,,
142,2005-06,B00725,,
143,2005-08,B00725,,
144,2005-09,B00725,,4.64
145,2005-10,B00725,,
146,2005-11,B00725,,
147,2005-12,B00725,,
148,2006-01,B00725,,
149,2006-02,B00725,,
150,2006-03,B00725,,
151,2006-04,B00725,,
152,2006-05,B00725,,
153,2006-06,B00725,,
154,2006-07,B00725,,
155,2006-08,B00725,,
156,2006-09,B00725,,
157,2006-10,B00725,,
158,2006-11,B00725,,
159,2006-12,B00725,,
160,2007-01,B00725,,
161,2007-02,B00725,,
162,2007-04,B00725,,
163,2007-05,B00725,,
164,2007-06,B00725,,
165,2007-07,B00725,,
166,2007-08,B00725,,
167,2007-09,B00725,,
168,2007-10,B00725,8.77,
169,2007-11,B00725,8.77,
170,2007-12,B00725,8.77,
171,2008-01,B00725,7.52,
172,2008-02,B00725,7.52,
173,2008-03,B00725,7.52,
174,2008-04,B00725,8.12,
175,2008-05,B00725,8.12,
176,2008-06,B00725,8.12,
177,2008-07,B00725,7.62,
178,2008-08,B00725,7.62,
179,2008-09,B00725,7.62,
180,2008-10,B00725,,
181,2008-11,B00725,,
182,2008-12,B00725,,7.06
183,2009-01,B00725,,6.61
184,2009-03,B00725,,
185,2009-04,B00725,7.04,
186,2009-05,B00725,7.04,
187,2009-06,B00725,7.04,6.26
188,2009-07,B00725,,6.17
189,2009-08,B00725,,
190,2009-09,B00725,,5.56
191,2009-10,B00725,,5.33
192,2009-11,B00725,,5.22
193,2009-12,B00725,,5.4
194,2010-01,B00725,10.6,5.49
195,2010-02,B00725,10.6,5.66
196,2010-03,B00725,10.6,5.53
197,2010-04,B00725,,5.25
198,2010-05,B00725,,5.41
199,2010-06,B00725,,5.22
200,2010-07,B00725,,5.02
201,2010-08,B00725,,4.82
202,2010-09,B00725,,5.36
203,2010-10,B00725,,5.33
204,2010-11,B00725,,6.07
205,2010-12,B00725,,6.3
206,2011-01,B00725,,6.23
207,2011-02,B00725,,6.73
208,2011-03,B00725,,6.88
209,2011-04,B00725,,5.23
210,2011-05,B00725,,5.29
211,2011-06,B00725,,5.39
212,2011-07,B00725,,5.18
213,2011-08,B00725,,5.06
214,2011-09,B00725,,4.74
215,2011-10,B00725,,4.41
216,2011-11,B00725,,4.51
217,2011-12,B00725,,4.29
218,2012-01,B00725,,4.11
219,2012-02,B00725,,3.93
220,2012-03,B00725,,4.06
221,2012-04,B00725,,3.87
222,2012-05,B00725,,3.92
223,2012-06,B00725,,4.01
224,2012-07,B00725,,3.99
225,2012-08,B00725,,4.08
226,2012-09,B00725,,3.95
227,2012-10,B00725,,3.69
228,2012-11,B00725,,3.68
229,2012-12,B00725,,3.79
230,2013-01,B00725,,4.07
231,2013-02,B00725,,4.12
232,2013-03,B00725,,4.19
233,2013-04,B00725,,3.94
234,2013-05,B00725,,4.22
235,2013-06,B00725,,4.9
236,2013-07,B00725,,4.85
237,2013-08,B00725,,5.01
238,2013-09,B00725,,4.96
239,2013-10,B00725,,4.75
240,2013-11,B00725,,5.08
241,2013-12,B00725,,5.07
242,2014-01,B00725,,4.84
243,2014-02,B00725,,4.69
244,2014-03,B00725,,4.74
245,2014-04,B00725,,4.73
246,2014-05,B00725,,4.55
247,2014-06,B00725,,4.56
248,2014-07,B00725,,4.43
249,2014-08,B00725,,4.08
250,2014-09,B00725,,4.45
251,2014-10,B00725,,4.18
252,2014-11,B00725,,4.31
253,2014-12,B00725,,4.3
254,2015-03,B00725,,3.78
255,2015-04,B00725,,3.85
256,2015-05,B00725,,3.94
257,2015-06,B00725,,4.3
258,2015-09,B00725,,4.33
259,2015-12,B00725,,4.71
260,2016-03,B00725,,4.44
261,2016-06,B00725,,3.96
262,2016-09,B00725,,3.97
263,2016-12,B00725,,4.39
264,2017-01,B00725,,4.4
265,2017-02,B00725,,4.25
266,2017-03,B00725,,4.37
267,2017-04,B00725,,4.3
268,2017-05,B00725,,4.11
269,2017-06,B00725,,4.02
270,2017-07,B00725,,4.04
271,2017-08,B00725,,3.86
272,2017-09,B00725,,3.82
273,2017-10,B00725,,4.0
274,2017-11,B00725,,4.08
275,2017-12,B00725,,3.99
276,2018-01,B00725,,4.14
277,2018-02,B00725,,4.37
278,2018-03,B00725,,4.43
279,2018-04,B00725,,4.66
280,2018-05,B00725,,4.68
281,2018-06,B00725,,4.82
282,2018-07,B00725,,4.77
283,2018-08,B00725,,4.77
284,2018-09,B00725,,4.9
285,2018-10,B00725,,5.11
286,2018-11,B00725,,5.19
287,2018-12,B00725,,5.16
288,2019-01,B00725,,4.87
289,2019-02,B00725,,4.76
290,2019-03,B00725,,4.44
291,2019-04,B00725,,4.34
292,2019-05,B00725,,4.13
293,2019-06,B00725,,3.85
294,2019-07,B00725,,3.8
295,2019-08,B00725,,3.46
296,2019-09,B00725,,3.61
297,2019-10,B00725,,3.59
298,2019-11,B00725,,3.63
299,2019-12,B00725,,3.63
300,2020-01,B00725,,
301,2020-02,B00725,,
302,2020-03,B00725,,
303,2020-04,B00725,,
304,2020-05,B00725,,
305,2020-06,B00725,,
306,2020-07,B00725,,
