,as_of,ask_id,fund_size
0,2016-09,B00240,102.095
1,2016-10,B00240,100.958
2,2016-11,B00240,97.6873
3,2016-12,B00240,95.2217
4,2017-01,B00240,93.6245
5,2017-02,B00240,84.8157
6,2017-03,B00240,74.4413
7,2017-04,B00240,71.6645
8,2017-05,B00240,75.3832
9,2017-06,B00240,73.4583
10,2017-07,B00240,72.5687
11,2017-08,B00240,71.2207
12,2017-09,B00240,68.6946
13,2017-10,B00240,65.3353
14,2017-11,B00240,62.2757
15,2017-12,B00240,59.9008
16,2018-01,B00240,56.0874
17,2018-02,B00240,52.7721
18,2018-03,B00240,49.9794
19,2018-04,B00240,48.0673
20,2018-05,B00240,44.8682
21,2018-06,B00240,42.047
22,2018-07,B00240,21.0173
23,2018-08,B00240,21.7403
24,2018-09,B00240,28.9396
25,2018-10,B00240,26.0234
26,2018-11,B00240,24.9051
27,2018-12,B00240,19.1591
28,2019-01,B00240,19.7023
29,2019-02,B00240,19.6853
30,2019-03,B00240,19.8061
31,2019-04,B00240,20.3936
32,2019-05,B00240,19.414
33,2019-06,B00240,17.137
34,2019-07,B00240,17.3796
35,2019-08,B00240,18.4248
36,2019-09,B00240,18.8624
37,2019-10,B00240,26.4182
38,2019-11,B00240,26.6414
39,2019-12,B00240,26.6335
40,2020-01,B00240,24.836
41,2020-02,B00240,24.854
42,2020-03,B00240,23.2167
43,2020-04,B00240,22.5634
44,2020-05,B00240,26.0344
45,2020-06,B00240,26.1744
46,2020-07,B00240,26.7058
47,2020-08,B00240,27.1088
48,2020-09,B00240,26.5039
49,2020-10,B00240,26.6663
50,2020-11,B00240,27.9269
51,2020-12,B00240,23.9384
52,2021-01,B00240,25.3958
53,2021-02,B00240,24.7666
54,2021-03,B00240,23.9215
55,2021-04,B00240,23.2204
56,2021-05,B00240,23.5911
57,2021-06,B00240,20.7229
58,2021-07,B00240,20.8699
59,2021-08,B00240,19.3659
60,2021-09,B00240,17.5345
61,2021-10,B00240,17.4487
62,2021-11,B00240,17.4902
63,2021-12,B00240,17.5852
64,2022-01,B00240,16.2075
65,2022-02,B00240,16.7858
66,2022-03,B00240,12.2232
67,2022-04,B00240,11.7653
68,2022-05,B00240,12.0
69,2022-06,B00240,5.79485
70,2022-07,B00240,
71,2001-02,B00612,7.41233
72,2001-03,B00612,7.41233
73,2001-04,B00612,7.1181
74,2001-05,B00612,7.265
75,2001-06,B00612,7.14694
76,2001-07,B00612,7.41233
77,2001-08,B00612,7.5094
78,2001-09,B00612,7.45381
79,2001-10,B00612,7.66416
80,2001-11,B00612,21.8296
81,2001-12,B00612,21.7034
82,2002-01,B00612,21.8416
83,2002-02,B00612,29.9887
84,2002-03,B00612,29.7613
85,2002-04,B00612,30.1587
86,2002-05,B00612,35.9648
87,2002-06,B00612,36.0965
88,2002-07,B00612,75.2228
89,2002-08,B00612,102.157
90,2002-09,B00612,115.897
91,2002-10,B00612,115.641
92,2002-11,B00612,116.499
93,2002-12,B00612,110.917
94,2003-01,B00612,111.58
95,2003-02,B00612,126.565
96,2003-03,B00612,123.763
97,2003-04,B00612,125.756
98,2003-05,B00612,133.486
99,2003-06,B00612,134.929
100,2003-07,B00612,126.951
101,2003-08,B00612,128.512
102,2003-09,B00612,118.997
103,2003-10,B00612,118.799
104,2003-11,B00612,115.805
105,2003-12,B00612,116.947
106,2004-01,B00612,114.918
107,2004-02,B00612,119.306
108,2004-03,B00612,132.055
109,2004-04,B00612,125.351
110,2004-05,B00612,125.632
111,2004-06,B00612,123.017
112,2004-07,B00612,125.111
113,2004-08,B00612,123.995
114,2004-09,B00612,123.942
115,2004-10,B00612,124.741
116,2004-11,B00612,123.032
117,2004-12,B00612,113.245
118,2005-01,B00612,106.082
119,2005-02,B00612,91.1466
120,2005-03,B00612,92.0733
121,2005-04,B00612,93.8252
122,2005-05,B00612,94.5696
123,2005-06,B00612,94.9713
124,2005-07,B00612,95.2668
125,2005-08,B00612,96.4135
126,2005-09,B00612,95.1882
127,2005-10,B00612,94.2849
128,2005-11,B00612,96.3352
129,2005-12,B00612,97.4716
130,2006-01,B00612,99.317
131,2006-02,B00612,100.863
132,2006-03,B00612,99.4057
133,2006-04,B00612,100.496
134,2006-05,B00612,100.487
135,2006-06,B00612,96.4286
136,2006-07,B00612,97.8061
137,2006-08,B00612,86.6603
138,2006-09,B00612,86.9749
139,2006-10,B00612,88.0371
140,2006-11,B00612,88.7976
141,2006-12,B00612,85.9959
142,2007-01,B00612,86.3071
143,2007-02,B00612,89.1325
144,2007-03,B00612,91.5612
145,2007-04,B00612,92.9313
146,2007-05,B00612,92.6068
147,2007-06,B00612,90.4101
148,2007-07,B00612,91.1477
149,2007-08,B00612,82.8948
150,2007-09,B00612,83.0709
151,2007-10,B00612,87.2575
152,2007-11,B00612,101.271
153,2007-12,B00612,101.162
154,2008-01,B00612,100.134
155,2008-02,B00612,100.559
156,2008-03,B00612,100.549
157,2008-04,B00612,102.164
158,2008-05,B00612,102.033
159,2008-06,B00612,99.8192
160,2008-07,B00612,105.224
161,2008-08,B00612,107.821
162,2008-09,B00612,104.575
163,2008-10,B00612,96.0492
164,2008-11,B00612,76.1683
165,2008-12,B00612,78.4654
166,2009-01,B00612,75.2818
167,2009-02,B00612,71.8461
168,2009-03,B00612,67.1702
169,2009-04,B00612,49.8145
170,2009-05,B00612,50.7867
171,2009-06,B00612,50.5754
172,2009-07,B00612,45.3042
173,2009-08,B00612,47.1203
174,2009-09,B00612,53.1027
175,2009-10,B00612,63.3994
176,2009-11,B00612,65.1301
177,2009-12,B00612,70.2608
178,2010-01,B00612,69.203
179,2010-02,B00612,73.7955
180,2010-03,B00612,59.1733
181,2010-04,B00612,60.38
