,as_of,ask_id,annual_report_net_expense_ratio
0,2017,B00240,2.1
1,2018,B00240,2.25
2,2019,B00240,2.35
3,2002,B00612,0.37
4,2003,B00612,0.42
5,2004,B00612,0.42
6,2005,B00612,0.4
7,2006,B00612,0.2
8,2007,B00612,0.2
9,2008,B00612,0.3
10,2009,B00612,0.35
11,2010,B00612,0.35
12,2011,B00612,0.38
13,2012,B00612,0.4
14,2013,B00612,0.4
15,2014,B00612,0.4
16,2015,B00612,0.4
17,2016,B00612,0.4
18,2017,B00612,0.4
19,2018,B00612,0.4
20,2019,B00612,0.4
21,2005,B00725,1.25
22,2006,B00725,1.25
23,2007,B00725,1.25
24,2008,B00725,1.25
25,2009,B00725,1.25
26,2010,B00725,1.25
27,2011,B00725,1.25
28,2012,B00725,1.25
29,2013,B00725,1.25
30,2014,B00725,1.25
31,2015,B00725,1.25
32,2016,B00725,1.12
33,2017,B00725,1.02
34,2018,B00725,0.92
35,2019,B00725,0.92
36,2001,B01206,
37,2002,B01206,0.56
38,2003,B01206,0.56
39,2004,B01206,0.57
40,2005,B01206,0.57
41,2006,B01206,0.56
42,2007,B01206,0.56
43,2008,B01206,0.55
44,2009,B01206,0.81
45,2010,B01206,0.55
46,2011,B01206,0.55
47,2012,B01206,0.55
48,2013,B01206,0.56
49,2014,B01206,0.55
50,2015,B01206,0.55
51,2016,B01206,0.56
52,2017,B01206,0.56
53,2018,B01206,0.55
54,2019,B01206,0.55
55,2000,B01744,0.55
56,2001,B01744,0.63
57,2002,B01744,0.55
58,2003,B01744,0.55
59,2004,B01744,0.55
60,2005,B01744,0.55
61,2006,B01744,0.47
62,2007,B01744,0.48
63,2008,B01744,0.49
64,2009,B01744,0.53
65,2010,B01744,0.58
66,2011,B01744,0.58
67,2012,B01744,0.56
68,2013,B01744,0.59
69,2014,B01744,0.57
70,2015,B01744,0.46
71,2016,B01744,0.5
72,2017,B01744,0.52
73,2018,B01744,0.54
74,2019,B01744,0.51
75,2005,B01779,0.0
76,2006,B01779,0.0
77,2007,B01779,0.0
78,2008,B01779,0.01
79,2009,B01779,0.0
80,2010,B01779,0.0
81,2011,B01779,0.0
82,2012,B01779,0.0
83,2013,B01779,0.0
84,2014,B01779,0.0
85,2015,B01779,0.0
86,2016,B01779,0.0
87,2017,B01779,0.0
88,2018,B01779,0.0
89,2019,B01779,0.0
90,2003,B01860,0.4
91,2004,B01860,0.4
92,2005,B01860,0.42
93,2006,B01860,0.4
94,2007,B01860,0.46
95,2008,B01860,0.42
96,2009,B01860,0.37
97,2010,B01860,0.34
98,2011,B01860,0.33
