as_of,ask_id,equity_region_africa_pct_net,equity_region_africa_middle_east_pct_net,equity_region_americas_pct_net,equity_region_asia_dev_pct_net,equity_region_asia_emrg_pct_net,equity_region_australasia_pct_net,equity_region_canada_pct_net,equity_region_developed_pct_net,equity_region_emerging_pct_net,equity_region_europe_dev_pct_net,equity_region_europe_emrg_pct_net,equity_region_europe_ex_euro_pct_net,equity_region_eurozone_pct_net,equity_region_greater_asia_pct_net,equity_region_greater_europe_pct_net,equity_region_japan_pct_net,equity_region_latin_america_pct_net,equity_region_middle_east_pct_net,equity_region_north_america_pct_net,equity_region_not_classified_pct_net,equity_region_united_kingdom_pct_net,equity_region_united_sts_pct_net
2016-12,B00056,-0.36,-0.36,100.19,0.0,0.18,0.0,0.0,99.55,-0.18,-0.58,0.0,-0.09,-0.5,0.18,-1.0,0.0,0.74,0.0,99.45,0.0,-0.06,99.45
2017-01,B00056,-0.49,-0.49,101.04,0.0,0.17,0.0,0.0,99.85,-0.31,-0.87,0.0,-0.15,-0.72,0.17,-1.68,0.0,0.61,0.0,100.43,0.0,-0.32,100.43
2017-02,B00056,0.0,0.0,100.24,0.01,0.18,0.0,0.07,99.38,0.18,-0.7,0.0,-0.12,-0.59,0.19,-0.87,0.0,0.55,0.0,99.69,0.0,-0.16,99.62
2017-03,B00056,0.0,0.0,99.42,0.05,0.17,0.0,0.06,98.78,0.17,-0.56,0.0,-0.1,-0.46,0.22,-0.7,0.0,0.83,0.0,98.6,0.0,-0.13,98.54
2017-04,B00056,-0.51,-0.51,102.98,0.22,0.2,0.0,0.0,102.9,-0.32,-0.58,0.0,-0.1,-0.48,0.42,-0.82,0.0,0.87,0.0,102.11,0.0,0.27,102.11
2017-05,B00056,-0.51,-0.51,100.41,0.45,0.22,-0.05,0.0,100.97,-0.29,0.01,0.0,0.0,0.01,0.62,-0.35,0.0,0.77,0.0,99.64,0.0,0.15,99.64
2017-06,B00056,-0.47,-0.47,101.42,0.52,0.47,-0.14,0.0,102.33,0.0,0.0,0.0,0.0,0.0,0.85,0.06,0.0,0.94,0.0,100.49,0.0,0.53,100.49
2017-07,B00056,-0.47,-0.47,99.69,0.42,0.44,-0.14,0.0,100.61,-0.03,0.01,0.0,0.01,0.0,0.72,0.16,0.0,0.91,0.0,98.79,0.0,0.62,98.78
2017-08,B00056,-0.43,-0.43,98.63,0.4,0.46,0.0,0.0,99.05,0.15,0.01,0.0,0.01,0.0,0.86,-0.29,0.0,0.96,0.0,97.67,0.0,0.13,97.67
2017-09,B00056,-0.38,-0.38,97.43,0.34,0.29,0.0,0.0,97.84,0.03,0.01,0.0,0.01,0.0,0.63,-0.19,0.0,0.8,0.0,96.63,0.0,0.17,96.63
2017-12,B00056,0.0,0.0,97.81,0.26,0.53,0.0,0.0,98.05,0.53,0.07,0.0,0.0,0.07,0.79,-0.02,0.0,0.2,0.0,97.6,0.0,-0.09,97.6
2018-03,B00056,0.0,0.0,97.28,0.34,0.0,0.0,0.0,98.04,0.0,0.01,0.0,0.01,0.0,0.34,0.42,0.0,0.5,0.0,96.78,0.0,0.41,96.78
2018-06,B00056,0.0,0.0,98.6,0.06,0.01,0.0,0.0,98.97,0.01,0.0,0.0,0.0,0.0,0.07,0.3,0.0,0.28,0.0,98.32,0.0,0.3,98.32
2018-09,B00056,0.0,0.0,97.67,0.04,0.01,0.0,0.0,96.14,1.14,0.01,0.0,0.01,0.0,0.05,-0.44,0.0,1.41,0.0,96.26,0.0,-0.45,96.26
2018-12,B00056,-0.19,-0.19,101.37,0.05,-0.65,0.0,0.0,99.94,-0.14,0.0,0.0,0.0,0.0,-0.6,-0.97,0.0,1.05,0.0,100.32,0.0,-0.78,100.32
2019-03,B00056,0.0,0.0,99.9,0.0,-0.76,0.0,0.0,100.45,-0.76,0.0,0.0,0.0,0.0,-0.75,0.55,0.0,0.36,0.0,99.54,0.0,0.55,99.54
2019-06,B00056,0.0,0.0,100.61,0.0,-1.09,0.0,0.0,100.25,-1.08,-0.03,0.0,-0.03,0.0,-1.08,-0.37,0.0,0.4,0.0,100.21,0.0,-0.34,100.21
2019-09,B00056,0.0,0.0,98.97,0.0,-0.53,0.0,0.0,99.46,-0.53,0.39,0.0,0.39,0.0,-0.53,0.49,0.0,0.41,0.0,98.56,0.0,0.1,98.56
2015-04,B00496,0.0,0.0,94.67,0.0,0.0,0.0,0.0,95.4,0.0,0.73,0.0,0.0,0.73,0.0,0.73,0.0,0.0,0.0,94.67,0.0,0.0,94.67
2015-07,B00496,0.0,0.0,96.04,0.0,0.0,0.0,0.0,96.78,0.0,0.74,0.0,0.0,0.74,0.0,0.74,0.0,0.0,0.0,96.04,0.0,0.0,96.04
2015-10,B00496,0.0,0.77,93.93,0.0,0.0,0.0,0.0,95.33,0.0,0.63,0.0,0.0,0.63,0.0,1.39,0.0,0.0,0.77,93.93,0.0,0.0,93.93
2016-01,B00496,0.0,0.8,95.35,0.0,0.0,0.0,0.0,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,95.35,0.0,0.0,95.35
2016-04,B00496,0.0,0.89,95.27,0.0,0.0,0.0,0.0,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.89,95.27,0.0,0.0,95.27
2016-05,B00496,0.0,0.88,94.83,0.0,0.0,0.0,0.0,95.71,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.88,94.83,0.0,0.0,94.83
2016-06,B00496,0.0,0.84,94.55,0.0,0.0,0.0,0.0,96.43,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.84,94.55,0.0,1.04,94.55
2016-07,B00496,0.0,0.8,95.48,0.0,0.0,0.0,0.0,97.34,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.8,95.48,0.0,1.07,95.48
2016-08,B00496,0.0,0.79,95.17,0.0,0.0,0.0,0.0,96.56,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.79,95.17,0.0,0.6,95.17
2016-09,B00496,0.0,0.79,95.01,0.0,0.0,0.0,0.0,96.44,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.79,95.01,0.0,0.63,95.01
2016-10,B00496,0.0,0.88,94.85,0.0,0.0,0.0,0.99,96.26,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.88,94.85,0.0,0.53,93.86
2016-11,B00496,0.0,0.89,96.63,0.0,0.0,0.0,0.99,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.89,96.63,0.0,0.48,95.64
2016-12,B00496,0.0,0.89,94.82,0.0,0.0,0.0,1.2,96.18,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.89,94.82,0.0,0.47,93.63
2017-01,B00496,0.0,0.99,94.92,0.0,0.0,0.0,1.24,96.49,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.99,94.92,0.0,0.58,93.69
2017-02,B00496,0.0,0.94,95.01,0.0,0.0,0.0,1.16,96.67,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.94,95.01,0.0,0.72,93.85
2017-03,B00496,0.0,0.97,96.71,0.0,0.0,0.0,1.16,98.32,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.97,96.71,0.0,0.63,95.55
2017-04,B00496,0.0,0.74,98.36,0.0,0.0,0.0,0.56,99.09,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.74,98.36,0.0,0.0,97.79
2017-05,B00496,0.0,0.78,96.83,0.0,0.0,0.0,0.52,97.61,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.78,96.83,0.0,0.0,96.32
2017-06,B00496,0.0,0.75,96.18,0.0,0.98,0.0,0.52,96.93,0.98,0.0,0.0,0.0,0.0,0.98,0.75,0.0,0.0,0.75,96.18,0.0,0.0,95.66
2017-07,B00496,0.0,0.71,96.05,0.0,1.01,0.0,0.48,96.76,1.01,0.0,0.0,0.0,0.0,1.01,0.71,0.0,0.0,0.71,96.05,0.0,0.0,95.57
2017-08,B00496,0.0,0.75,96.96,0.0,1.39,0.0,0.5,97.71,1.39,0.0,0.0,0.0,0.0,1.39,0.75,0.0,0.0,0.75,96.96,0.0,0.0,96.46
2017-09,B00496,0.0,0.45,96.66,0.0,1.31,0.0,0.51,97.11,1.31,0.0,0.0,0.0,0.0,1.31,0.45,0.0,0.0,0.45,96.66,0.0,0.0,96.15
2017-10,B00496,0.0,0.44,97.5,0.0,1.34,0.0,0.49,97.93,1.34,0.0,0.0,0.0,0.0,1.34,0.44,0.0,0.0,0.44,97.5,0.0,0.0,97.01
2017-11,B00496,0.0,0.36,92.02,0.0,1.38,0.0,0.44,92.37,1.38,0.0,0.0,0.0,0.0,1.38,0.36,0.0,0.0,0.36,92.02,0.0,0.0,91.58
2017-12,B00496,0.0,0.38,97.42,0.0,1.29,0.0,0.61,97.8,1.29,0.0,0.0,0.0,0.0,1.29,0.38,0.0,0.0,0.38,97.42,0.0,0.0,96.81
2018-01,B00496,0.0,0.0,95.04,0.0,1.38,0.0,0.61,95.04,1.38,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,95.04,0.0,0.0,94.43
2018-02,B00496,0.0,0.0,96.44,0.0,1.41,0.0,0.55,96.44,1.41,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,96.44,0.0,0.0,95.9
2018-03,B00496,0.0,0.0,98.09,1.38,0.0,0.0,0.62,99.48,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,98.09,0.0,0.0,97.48
2018-04,B00496,0.0,0.0,97.88,0.0,1.34,0.0,0.78,97.88,1.34,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,97.88,0.0,0.0,97.1
2018-05,B00496,0.0,0.0,98.88,0.0,0.0,0.0,0.84,99.29,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,98.88,0.0,0.41,98.04
2018-06,B00496,0.0,0.0,99.01,0.0,0.0,0.0,0.86,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,99.01,0.0,0.38,98.14
2018-07,B00496,0.0,0.0,98.59,0.0,0.97,0.0,0.82,98.59,0.97,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,98.59,0.0,0.0,97.77
2018-08,B00496,0.0,0.0,98.04,0.0,0.0,0.0,0.81,98.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.04,0.0,0.0,97.24
2018-09,B00496,0.0,0.0,97.69,0.0,0.0,0.0,0.89,97.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.69,0.0,0.0,96.8
2018-10,B00496,0.0,0.0,98.58,0.0,0.0,0.0,0.49,98.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58,0.0,0.0,98.08
2018-11,B00496,0.0,0.0,98.27,0.0,0.0,0.0,0.96,98.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.27,0.0,0.0,97.31
2018-12,B00496,0.0,0.0,97.41,0.0,0.73,0.0,1.22,97.41,0.73,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,97.41,0.0,0.0,96.19
2019-01,B00496,0.0,0.0,95.95,0.0,0.79,0.0,1.17,95.95,0.79,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,95.95,0.0,0.0,94.78
2019-02,B00496,0.0,0.0,97.1,0.0,0.97,0.0,1.14,97.1,0.97,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,97.1,0.0,0.0,95.95
2019-03,B00496,0.0,0.0,98.3,0.0,0.94,0.0,0.0,98.3,0.94,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,98.3,0.0,0.0,98.3
2019-04,B00496,0.0,0.0,95.68,0.0,1.04,0.0,0.0,95.68,1.04,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,95.68,0.0,0.0,95.68
2019-05,B00496,0.0,0.0,96.74,0.0,0.94,0.0,0.0,96.74,0.94,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,96.74,0.0,0.0,96.74
2019-06,B00496,0.0,0.0,97.86,0.0,0.96,0.0,0.0,97.86,0.96,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,97.86,0.0,0.0,97.86
2019-07,B00496,0.0,0.0,95.39,0.0,1.51,0.0,0.82,95.39,1.51,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,95.39,0.0,0.0,94.57
2019-08,B00496,0.0,0.0,96.13,0.0,1.54,0.0,1.01,96.13,1.54,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,96.13,0.0,0.0,95.12
2019-09,B00496,0.0,0.0,95.57,0.0,1.6,0.0,1.2,95.57,1.6,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,95.57,0.0,0.0,94.37
2019-10,B00496,0.0,0.0,96.17,0.0,1.62,0.0,1.08,96.17,1.62,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,96.17,0.0,0.0,95.09
2019-11,B00496,0.0,0.0,93.98,0.0,1.88,0.0,1.06,93.98,1.88,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,93.98,0.0,0.0,92.92
2019-12,B00496,0.0,0.0,97.38,0.0,2.02,0.0,1.07,97.38,2.02,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,97.38,0.0,0.0,96.31
2020-01,B00496,0.0,0.0,95.84,0.0,1.94,0.0,0.97,95.84,1.94,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,95.84,0.0,0.0,94.87
2020-02,B00496,0.0,0.0,96.03,0.0,1.99,0.0,0.75,95.55,2.47,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.48,0.0,95.55,0.0,0.0,94.81
2020-03,B00496,0.0,0.0,94.77,0.0,0.88,0.0,0.0,94.11,1.54,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.66,0.0,94.11,0.0,0.0,94.11
2020-04,B00496,0.0,0.48,92.74,0.0,2.24,0.0,0.0,91.76,3.71,0.0,0.0,0.0,0.0,2.24,0.48,0.0,1.47,0.48,91.27,0.0,0.0,91.27
2020-05,B00496,0.0,0.51,96.75,0.0,2.15,0.0,0.0,95.25,4.17,0.0,0.0,0.0,0.0,2.15,0.51,0.0,2.01,0.51,94.74,0.0,0.0,94.74
2020-06,B00496,0.0,0.71,93.95,0.0,2.04,0.0,0.58,92.44,4.25,0.0,0.0,0.0,0.0,2.04,0.71,0.0,2.22,0.71,91.73,0.0,0.0,91.15
2020-07,B00496,0.0,0.0,95.44,0.0,2.22,0.0,0.58,94.28,4.6,0.0,0.0,0.0,0.0,2.22,1.22,0.0,2.37,0.0,93.06,0.0,1.22,92.48
2020-08,B00496,0.0,0.0,94.78,0.0,2.32,0.0,0.0,92.53,4.56,0.0,0.0,0.0,0.0,2.32,0.0,0.0,2.25,0.0,92.53,0.0,0.0,92.53
2020-09,B00496,0.0,0.0,96.32,0.0,2.5,0.0,0.0,94.13,4.69,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.19,0.0,94.13,0.0,0.0,94.13
2020-10,B00496,,,,,,,,,,,,,,,,,,,,,,
2015-06,B00698,0.0,0.13,99.17,0.04,0.04,0.0,0.0,99.94,0.04,0.13,0.0,0.04,0.1,0.08,0.72,0.0,0.02,0.13,99.15,0.0,0.46,99.15
2015-07,B00698,0.0,0.13,99.21,0.05,0.04,0.0,0.0,99.96,0.04,0.14,0.0,0.03,0.1,0.09,0.7,0.0,0.02,0.13,99.2,0.0,0.43,99.2
2015-09,B00698,0.0,0.13,98.85,0.04,0.05,0.0,0.0,99.69,0.05,0.04,0.0,0.04,0.0,0.09,0.8,0.0,0.02,0.13,98.83,0.0,0.62,98.83
2015-10,B00698,0.0,0.13,98.77,0.03,0.04,0.0,0.0,99.57,0.04,0.04,0.0,0.04,0.0,0.08,0.78,0.0,0.02,0.13,98.75,0.0,0.6,98.75
2015-11,B00698,0.0,0.13,98.91,0.03,0.04,0.0,0.0,99.72,0.04,0.04,0.0,0.04,0.0,0.07,0.79,0.0,0.02,0.13,98.89,0.0,0.61,98.89
2015-12,B00698,0.0,0.0,98.51,0.0,0.36,0.0,0.05,98.71,0.36,0.0,0.0,0.0,0.0,0.36,0.2,0.0,0.0,0.0,98.51,0.0,0.2,98.46
2016-01,B00698,0.0,0.0,99.06,0.0,0.36,0.0,0.05,99.22,0.36,0.0,0.0,0.0,0.0,0.36,0.16,0.0,0.0,0.0,99.06,0.0,0.16,99.01
2016-02,B00698,0.0,0.0,99.72,0.0,0.05,0.0,0.05,99.88,0.05,0.0,0.0,0.0,0.0,0.05,0.17,0.0,0.0,0.0,99.72,0.0,0.17,99.66
2016-03,B00698,0.0,0.0,99.51,0.0,0.05,0.0,0.05,99.68,0.05,0.0,0.0,0.0,0.0,0.05,0.17,0.0,0.0,0.0,99.51,0.0,0.17,99.46
2016-04,B00698,0.0,0.0,99.49,0.0,0.05,0.0,0.05,99.66,0.05,0.0,0.0,0.0,0.0,0.05,0.17,0.0,0.0,0.0,99.49,0.0,0.17,99.44
2016-05,B00698,0.0,0.0,99.71,0.0,0.05,0.0,0.05,99.87,0.05,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.0,99.71,0.0,0.15,99.66
2016-06,B00698,0.0,0.0,98.85,0.0,0.03,0.0,0.05,99.38,0.03,0.09,0.0,0.09,0.0,0.03,0.53,0.0,0.0,0.0,98.85,0.0,0.44,98.8
2016-07,B00698,0.0,0.0,99.13,0.0,0.03,0.0,0.05,99.79,0.03,0.09,0.0,0.09,0.0,0.03,0.66,0.0,0.0,0.0,99.13,0.0,0.57,99.09
2016-08,B00698,0.0,0.0,99.69,0.0,0.03,0.0,0.05,99.83,0.03,0.0,0.0,0.0,0.0,0.03,0.14,0.0,0.0,0.0,99.69,0.0,0.14,99.64
2016-09,B00698,0.0,0.0,99.49,0.0,0.03,0.0,0.05,99.72,0.03,0.0,0.0,0.0,0.0,0.03,0.23,0.0,0.0,0.0,99.49,0.0,0.23,99.44
2016-10,B00698,0.0,0.0,99.71,0.0,0.03,0.0,0.05,99.72,0.03,0.01,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.0,99.71,0.0,0.0,99.67
2016-11,B00698,0.0,0.0,99.77,0.0,0.03,0.0,0.05,99.77,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,99.77,0.0,0.0,99.72
2016-12,B00698,0.0,0.0,99.57,0.0,0.13,0.0,0.08,99.57,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,99.57,0.0,0.0,99.5
2017-01,B00698,0.0,0.0,99.72,0.0,0.13,0.0,0.08,99.72,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,99.72,0.0,0.0,99.64
2017-02,B00698,0.0,0.0,99.55,0.0,0.11,0.0,0.04,99.55,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,99.55,0.0,0.0,99.5
2017-03,B00698,0.0,0.0,99.57,0.0,0.11,0.0,0.08,99.57,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,99.57,0.0,0.0,99.49
2017-04,B00698,0.0,0.0,99.49,0.0,0.14,0.0,0.08,99.49,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,99.49,0.0,0.0,99.41
2017-05,B00698,0.0,0.0,99.78,0.0,0.16,0.0,0.07,99.78,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,99.78,0.0,0.0,99.71
2017-06,B00698,0.0,0.0,99.02,0.0,0.12,0.05,0.07,99.13,0.12,0.05,0.0,0.0,0.05,0.17,0.05,0.0,0.0,0.0,99.02,0.0,0.0,98.94
2017-07,B00698,0.0,0.0,99.62,0.0,0.11,0.0,0.07,99.68,0.11,0.06,0.0,0.0,0.06,0.11,0.06,0.0,0.0,0.0,99.62,0.0,0.0,99.54
2017-08,B00698,0.0,0.0,99.82,0.0,0.12,0.0,0.07,99.89,0.12,0.06,0.0,0.0,0.06,0.12,0.06,0.0,0.0,0.0,99.82,0.0,0.0,99.75
2017-09,B00698,0.0,0.0,97.27,0.0,0.13,0.0,0.06,97.33,0.13,0.06,0.0,0.0,0.06,0.13,0.06,0.0,0.0,0.0,97.27,0.0,0.0,97.21
2017-10,B00698,0.0,0.0,99.63,0.0,0.13,0.0,0.06,99.69,0.13,0.06,0.0,0.0,0.06,0.13,0.06,0.0,0.0,0.0,99.63,0.0,0.0,99.57
2017-11,B00698,0.0,0.0,99.52,0.0,0.13,0.0,0.06,99.58,0.13,0.06,0.0,0.0,0.06,0.13,0.06,0.0,0.0,0.0,99.52,0.0,0.0,99.46
