,ask_id,sec_name,ticker,isin,cusip,secid
0,B00056,AQR Large Cap Relaxed Constraint Eq R6,,US00191K5671,00191K567,F00000XTXQ
1,B00496,Knights of Columbus Large Cap Growth I,KCGIX,US00771X7811,00771X781,F00000V48J
2,B00698,Calvert US Large Cap Growth Rspnb Idx I,CGJIX,US13162A8071,13162A807,F00000VCX5
3,B01060,BNY Mellon Tax Managed Growth A,DTMGX,US05589K8716,05589K871,FOUSA00HA1
4,B01061,BNY Mellon Sustainable US Eq Fd Z,DRTHX,US09661D4097,09661D409,FOUSA00C6V
5,B01343,BMO Small-Cap Value I,MRSNX,US09658L5966,09658L596,F00000LNMS
6,B01637,BlackRock Advantage ESG US Eq Instl Shrs,BIRIX,US0919361206,091936120,F00000W3UB
7,B01855,"Beck, Mack & Oliver Partners",BMPEX,US34985G1022,34985G102,F0000040TY
8,B02943,American Funds Fundamental Invs A,ANCFX,US3608021024,360802102,FOUSA00CTS
9,B03459,American Century Select Inv,TWCIX,US0250835024,025083502,FOUSA00FJO
10,B03731,American Century Focused Dynamic Gr I,ACFSX,US02507H6018,02507H601,FOUSA05I1E
11,B03784,American Century Disciplined Growth I,ADCIX,US02507M6672,02507M667,FOUSA05GPQ
12,B03952,American Beacon Alpha Quant Core R5,,US0245265014,024526501,F00000Y5ZB
13,B04369,Al Frank Inv,VALUX,US66538A3564,66538A356,FOUSA00J2A
14,B05011,ClearBridge Dividend Strategy A,SOPAX,US52469H6365,52469H636,FOUSA00F5H
15,B05848,Commerce Growth,CFGRX,US2006264061,200626406,FOUSA00BWL
16,B05901,CornerCap Small-Cap Value Investor,CSCVX,US2189203043,218920304,FOUSA00FUW
17,B05924,Crawford Large Cap Dividend I,CDGIX,US90470K8264,90470K826,FOUSA0563H
18,B06011,Cutler Equity Fund Class II Shares,DIVHX,US2322136035,232213603,FOUSA00BO6
19,B06127,Delaware Growth Equity A,FICGX,US24611D7140,24611D714,FOUSA00AZ0
20,B06391,DFA Tax-Managed US Targeted Value,,US2332035797,233203579,FOUSA00G74
21,B06905,Eaton Vance Dividend Builder A,EVTMX,US2779058328,277905832,FOUSA00C98
22,B07369,Federated Hermes MDT Large Cap Growth IS,QILGX,US31421R8824,31421R882,FOUSA05CDO
23,B08417,Fidelity® Growth Company,FDGRX,US3162001040,316200104,FOUSA00CH5
24,B08422,Fidelity® Growth Strategies,FDEGX,US3162002030,316200203,FOUSA00CFG
25,B08453,Fidelity® Large Cap Growth Enhanced Idx,FLGEX,US31606X3089,31606X308,FOUSA06BF2
26,B08466,Fidelity® Low-Priced Stock,FLPSX,US3163453059,316345305,FOUSA00CFE
27,B08620,Fidelity® Small Cap Value Index,FISVX,US31635T7735,31635T773,F000013GDL
28,B09156,Franklin Small Cap Value A,FRVLX,US3551483056,355148305,FOUSA00K8H
29,B09513,Goldman Sachs U.S. Equity ESG Ins,GINGX,US38144N2475,38144N247,F0000040Q4
30,B09934,Goldman Sachs Small Cap Value A,GSSMX,US38141W6122,38141W612,FOUSA00D0B
