as_of,ask_id,equity_econ_sector_basic_materials_pct_net,equity_econ_sector_communication_services_pct_net,equity_econ_sector_consumer_cyclical_pct_net,equity_econ_sector_consumer_defensive_pct_net,equity_econ_sector_energy_pct_net,equity_econ_sector_financial_services_pct_net,equity_econ_sector_healthcare_pct_net,equity_econ_sector_industrials_pct_net,equity_econ_sector_real_est_pct_net,equity_econ_sector_technology_pct_net,equity_econ_sector_utilities_pct_net
2016-12,B00056,7.09,1.53,9.78,4.39,10.18,19.24,9.22,14.31,2.22,14.92,6.5
2017-01,B00056,7.69,1.12,10.34,3.97,9.18,19.31,8.79,14.83,2.39,16.33,5.6
2017-02,B00056,7.64,1.21,10.22,4.26,8.72,19.59,9.11,14.36,2.42,16.51,5.53
2017-03,B00056,8.01,1.21,10.32,3.96,7.76,18.25,9.42,14.28,2.38,18.17,5.16
2017-04,B00056,7.57,2.09,11.01,3.93,4.43,16.94,9.73,15.75,2.48,21.99,6.66
2017-05,B00056,6.39,2.01,11.76,4.42,1.14,16.46,11.24,15.92,2.43,23.42,5.5
2017-06,B00056,5.48,1.95,12.53,5.72,1.18,17.68,9.36,16.4,2.68,23.52,5.83
2017-07,B00056,5.46,1.98,12.27,5.51,1.06,17.48,9.42,15.76,2.61,23.3,5.74
2017-08,B00056,5.52,2.44,12.85,5.32,1.41,16.0,9.57,12.72,2.71,23.74,6.91
2017-09,B00056,5.79,2.71,13.68,5.21,0.83,15.32,11.62,11.13,2.59,22.59,6.38
2017-12,B00056,5.97,2.09,11.88,4.65,1.28,16.36,10.56,12.1,2.61,24.81,6.26
2018-03,B00056,6.87,1.81,11.92,3.29,0.05,15.71,12.47,13.34,1.94,25.86,4.41
2018-06,B00056,6.06,1.39,12.38,1.26,6.63,15.06,10.13,12.52,2.64,28.18,2.74
2018-09,B00056,3.76,0.59,11.41,2.68,6.93,10.86,15.56,12.59,2.41,28.08,0.82
2018-12,B00056,1.2,1.24,11.96,5.27,4.52,9.4,20.97,11.76,0.89,29.99,1.89
2019-03,B00056,-0.12,2.12,14.55,3.37,2.38,8.62,19.27,9.97,2.38,33.38,3.79
2019-06,B00056,0.25,2.97,12.57,6.26,-0.03,9.98,17.56,8.93,1.22,35.85,3.59
2019-09,B00056,-0.14,2.87,14.95,7.18,-1.47,12.5,12.36,11.36,0.17,35.93,3.22
2015-04,B00496,2.21,7.65,15.15,7.98,2.82,5.25,19.36,12.06,1.1,21.8,0.0
2015-07,B00496,2.23,4.98,17.71,8.35,1.28,6.06,21.76,13.41,1.04,19.95,0.0
2015-10,B00496,0.75,6.83,16.33,8.74,0.58,5.01,20.81,10.32,1.08,24.88,0.0
2016-01,B00496,1.43,2.97,15.52,11.69,1.02,4.58,21.36,10.89,0.91,25.78,0.0
2016-04,B00496,1.23,3.14,16.13,13.66,1.05,3.19,21.54,12.47,0.87,22.86,0.0
2016-05,B00496,1.87,3.22,15.29,12.46,1.24,3.19,21.56,13.43,0.59,22.87,0.0
2016-06,B00496,2.12,4.46,15.51,11.63,1.28,3.83,21.29,13.55,1.97,20.79,0.0
2016-07,B00496,2.08,3.96,13.75,11.03,1.23,4.01,22.11,13.82,2.04,23.31,0.0
2016-08,B00496,2.23,3.03,13.94,9.75,0.96,4.24,21.65,14.75,1.98,24.03,0.0
2016-09,B00496,2.17,3.05,14.78,7.91,1.0,3.97,21.91,15.1,2.01,24.55,0.0
2016-10,B00496,1.61,2.33,15.08,7.65,1.48,4.5,20.92,16.22,0.59,25.88,0.0
2016-11,B00496,0.58,2.33,16.2,7.86,1.0,5.8,19.48,16.33,1.1,27.33,0.0
2016-12,B00496,1.07,1.83,16.56,6.68,1.53,6.42,18.72,13.5,1.2,28.67,0.0
2017-01,B00496,2.28,1.88,18.89,5.99,1.18,7.1,17.25,11.98,1.32,28.63,0.0
2017-02,B00496,2.15,2.28,18.69,6.82,1.19,4.61,17.84,12.39,0.87,29.84,0.0
2017-03,B00496,2.21,2.3,19.28,6.65,1.27,5.37,17.36,11.88,0.85,31.16,0.0
2017-04,B00496,2.73,2.25,19.91,6.48,1.23,5.52,17.27,11.96,0.84,30.91,0.0
2017-05,B00496,2.7,2.38,19.07,5.08,0.73,6.02,16.07,12.66,1.0,31.89,0.0
2017-06,B00496,2.48,2.28,17.39,6.47,0.73,5.97,16.41,12.97,1.03,32.17,0.0
