as_of,ask_id,equity_style_core_pct_net,equity_style_growth_pct_net,equity_style_large_cap_pct_net,equity_style_large_core_pct_net,equity_style_large_growth_pct_net,equity_style_large_value_pct_net,equity_style_mid_cap_pct_net,equity_style_mid_core_pct_net,equity_style_mid_growth_pct_net,equity_style_mid_value_pct_net,equity_style_small_cap_pct_net,equity_style_small_core_pct_net,equity_style_small_growth_pct_net,equity_style_small_value_pct_net,equity_style_value_pct_net
2016-12,B00056,37.53,1.14,71.25,26.87,10.83,33.55,21.74,9.58,-6.14,18.3,4.88,1.08,-3.56,7.36,59.2
2017-01,B00056,34.77,6.77,72.28,28.91,12.21,31.16,21.0,7.22,-4.68,18.46,5.48,-1.36,-0.77,7.6,57.22
2017-02,B00056,33.52,7.49,73.02,28.87,13.11,31.04,20.1,4.97,-3.6,18.73,5.91,-0.32,-2.02,8.24,58.01
2017-03,B00056,34.03,6.31,71.85,25.7,14.11,32.04,20.46,6.44,-4.94,18.96,6.37,1.88,-2.87,7.35,58.35
2017-04,B00056,35.43,8.1,75.88,25.55,13.91,36.42,18.36,9.01,-4.2,13.55,8.2,0.88,-1.62,8.94,58.91
2017-05,B00056,33.6,9.18,76.46,25.17,15.22,36.07,18.81,6.85,-3.63,15.59,4.88,1.58,-2.41,5.71,57.37
2017-06,B00056,29.49,12.53,78.07,23.63,15.09,39.35,22.43,8.39,-1.33,15.37,1.62,-2.53,-1.24,5.39,60.1
2017-07,B00056,33.59,12.26,76.48,25.78,14.73,35.96,20.06,6.76,-0.96,14.26,3.79,1.05,-1.51,4.26,54.47
2017-08,B00056,31.73,14.61,76.27,21.62,18.04,36.61,23.38,11.57,-1.24,13.04,-0.36,-1.46,-2.18,3.29,52.94
2017-09,B00056,31.82,15.35,77.45,23.64,20.17,33.64,20.0,9.53,-2.44,12.91,0.52,-1.35,-2.38,4.25,50.8
2017-12,B00056,31.96,21.61,78.35,24.96,21.24,32.15,18.74,6.31,1.06,11.37,0.83,0.69,-0.69,0.84,44.36
2018-03,B00056,33.09,25.53,83.14,26.71,26.58,29.86,14.5,7.52,-1.14,8.12,-0.72,-1.14,0.1,0.32,38.3
2018-06,B00056,36.6,29.31,86.8,30.93,29.71,26.15,13.17,7.16,0.5,5.51,-1.71,-1.5,-0.9,0.69,32.35
2018-09,B00056,31.87,35.91,82.64,26.1,30.55,26.0,15.69,7.74,6.1,1.84,-2.76,-1.97,-0.74,-0.05,27.79
2018-12,B00056,34.22,34.24,92.1,31.82,30.63,29.65,15.86,5.33,6.35,4.19,-8.18,-2.93,-2.74,-2.5,31.33
2019-03,B00056,30.19,30.9,85.48,29.51,26.91,29.05,17.93,2.05,6.74,9.14,-4.16,-1.38,-2.75,-0.04,38.16
2019-06,B00056,22.96,32.01,88.31,25.77,28.48,34.05,10.94,0.82,3.09,7.02,0.52,-3.64,0.44,3.72,44.79
2019-09,B00056,24.81,29.15,85.49,26.37,27.07,32.05,11.86,1.88,0.93,9.05,1.14,-3.45,1.15,3.43,44.53
2015-04,B00496,37.28,52.51,66.71,22.41,39.95,4.35,24.39,12.6,10.53,1.26,4.3,2.26,2.04,0.0,5.61
2015-07,B00496,38.52,53.29,67.53,26.84,38.17,2.51,24.22,9.74,12.14,2.35,4.92,1.94,2.98,0.0,4.86
2015-10,B00496,23.89,61.41,69.76,16.59,47.3,5.86,21.1,6.07,11.1,3.93,4.47,1.22,3.0,0.25,10.04
2016-01,B00496,23.61,61.65,72.44,17.42,48.2,6.82,18.54,5.4,10.57,2.56,4.46,0.79,2.89,0.78,10.17
2016-04,B00496,31.96,50.6,64.6,20.82,35.2,8.58,24.52,9.53,11.04,3.95,7.03,1.6,4.37,1.07,13.59
2016-05,B00496,32.2,48.89,63.49,22.37,32.48,8.65,25.44,8.25,12.9,4.29,6.78,1.59,3.51,1.68,14.62
2016-06,B00496,27.29,52.98,64.55,18.06,37.25,9.24,24.31,7.69,11.51,5.11,7.56,1.54,4.22,1.79,16.15
2016-07,B00496,25.92,53.75,63.49,15.2,37.28,11.02,26.55,9.06,12.9,4.6,7.29,1.66,3.57,2.06,17.68
2016-08,B00496,25.15,54.65,60.35,11.95,37.95,10.45,27.78,10.41,13.35,4.02,8.43,2.8,3.35,2.28,16.75
2016-09,B00496,31.78,46.65,61.05,17.61,32.24,11.19,24.97,10.35,10.36,4.26,10.42,3.81,4.05,2.56,18.01
2016-10,B00496,36.11,46.46,60.38,23.03,31.44,5.9,26.29,9.57,10.36,6.37,9.59,3.52,4.66,1.42,13.69
2016-11,B00496,31.46,50.41,64.11,17.5,37.1,9.51,27.72,10.26,11.1,6.36,6.16,3.7,2.21,0.25,16.13
2016-12,B00496,35.92,52.21,64.19,25.01,36.13,3.04,28.1,8.78,14.79,4.54,3.64,2.13,1.29,0.21,7.8
2017-01,B00496,35.19,54.08,63.92,22.43,38.91,2.58,27.76,10.31,13.36,4.1,4.8,2.45,1.81,0.55,7.22
