as_of,ask_id,fixed_inc_ps_ag_mtge_bck_pct_net,fixed_inc_ps_asset_bck_pct_net,fixed_inc_ps_bank_loan_pct_net,fixed_inc_ps_cash_and_equivalents_pct_net,fixed_inc_ps_commercial_mtge_bck_pct_net,fixed_inc_ps_convertible_pct_net,fixed_inc_ps_corporate_bond_pct_net,fixed_inc_ps_covered_bond_pct_net,fixed_inc_ps_forward_future_pct_net,fixed_inc_ps_gov_pct_net,fixed_inc_ps_gov_related_pct_net,fixed_inc_ps_municipal_tax_exempt_pct_net,fixed_inc_ps_municipal_taxable_pct_net,fixed_inc_ps_non_ag_res_mtge_bck_pct_net,fixed_inc_ps_option_warrant_pct_net,fixed_inc_ps_preferred_stock_pct_net,fixed_inc_ps_swap_pct_net
2016-11,B00240,2.19,1.6,0.0,76.47,0.86,0.0,3.96,0.0,0.0,4.12,1.16,8.6,0.17,0.95,0.0,0.0,0.0
2017-02,B00240,2.43,2.27,0.0,31.17,1.13,0.0,4.41,0.0,0.0,4.47,1.96,50.83,0.23,1.0,0.0,0.0,0.0
2017-05,B00240,0.0,0.0,0.0,13.86,0.0,0.0,0.38,0.0,0.0,0.0,1.02,82.87,1.51,0.0,0.0,0.0,0.0
2017-08,B00240,0.0,0.0,0.0,-0.1,0.0,0.0,0.42,0.0,0.0,0.0,0.11,97.83,1.21,0.0,0.0,0.0,-0.01
2017-11,B00240,0.0,0.0,0.0,-0.96,0.0,0.0,0.44,0.0,0.0,0.04,0.06,99.13,1.04,0.0,0.0,0.0,0.03
2018-02,B00240,3.4,0.0,0.0,29.93,0.0,0.0,0.0,0.0,0.0,7.14,2.65,68.29,0.0,0.0,0.0,0.0,0.0
2018-05,B00240,0.0,0.0,0.0,16.41,0.0,0.0,0.0,0.0,0.0,0.96,3.16,87.56,0.79,0.0,0.0,0.0,-0.04
2018-08,B00240,0.0,0.0,0.36,-6.18,0.0,0.0,0.76,0.0,0.0,0.0,-0.1,86.14,23.27,0.0,0.0,0.0,0.0
2018-11,B00240,0.0,0.0,0.24,46.68,0.0,0.0,0.51,0.0,0.0,6.92,0.0,28.21,22.47,0.0,0.0,0.0,0.0
2019-02,B00240,0.0,0.0,0.3,-4.44,0.0,0.0,0.01,0.0,0.0,0.0,0.0,79.45,30.73,0.0,0.0,0.0,0.0
