,ask_id,sec_name,ticker,isin,cusip,secid
0,B00240,Anchor Risk Mgd Municipal Strats Instl,ATMSX,US66538H7733,66538H773,F00000XDKS
1,B00612,Carillon Reams Core Bond I,SCCIX,US14214L2549,14214L254,FOUSA02SZW
2,B00725,Calvert Core Bond A,CLDAX,US1315827105,131582710,FOUSA05BFM
3,B01206,BNY Mellon Intermediate Bond M,MPIBX,US05569M8148,05569M814,FOUSA00AZP
4,B01744,BlackRock Core Bond Instl,BFMCX,US09260B3096,09260B309,FOUSA00DC3
5,B01779,BlackRock Allocation Target Shrs Ser M,BRAMX,US0924802012,092480201,FOUSA05IOC
6,B01860,BBH Limited Duration I,BBBIX,US05528X8517,05528X851,FOUSA04AL4
7,B02032,Ave Maria Bond,AVEFX,US8085305055,808530505,FOUSA04AO0
8,B02619,American Funds Preservation Port R5,RPPFX,US02630Y6462,02630Y646,F00000NLYM
9,B03016,American Funds College Enrollment 529F1,CENFX,US02629M5958,02629M595,F00000O4V9
10,B03978,AmericaFirst Income I,AFPIX,US02365Y6059,02365Y605,F00000H5DY
11,B05847,Commerce Bond,CFBNX,US2006262081,200626208,FOUSA00DXD
12,B06218,Delaware Strategic Income A,DEGGX,US2460942053,246094205,FOUSA00C1O
13,B06898,Eaton Vance Core Bond I,EIGIX,US2779056181,277905618,FOUSA05HTG
14,B07393,Federated Hermes Core Bond IS,FGFIX,US31428Q8877,31428Q887,FOUSA00H7W
15,B08402,Fidelity® Flex US Bond Index,FIBUX,US31635V5396,31635V539,F00000Y8GR
16,B08486,Fidelity® Mortgage Securities,FMSFX,US31617K2042,31617K204,FOUSA00CHS
17,B08639,Fidelity® US Bond Index,FXNAX,US3161463563,316146356,F00000LZX3
18,B11030,Hartford Schroders Tax-Aware Bond I,STWTX,US41665H8051,41665H805,F00000MF5N
19,B11231,Homestead Intermediate Bond,HOIBX,US4377711084,437771108,F000013B7K
20,B11248,Horizon Active Income Investor,AIMNX,US44053A8870,44053A887,F00000Q4KL
21,B12216,Invesco Quality Income A,VKMGX,US00888W6194,00888W619,FOUSA00FTX
22,B12375,iShares US Aggregate Bond Index K,WFBIX,US0669221055,066922105,FOUSA00B54
23,B13224,JHancock ESG Core Bond R6,JBORX,US4780307033,478030703,F00000XUMT
24,B13845,JNL/Mellon Bond Index A,,US46648M5655,46648M565,FVUSA04AIS
25,B14031,Johnson Fixed-Income,JFINX,US4791643038,479164303,FOUSA00KFI
26,B14035,Johnson Institutional Intermediate Bond,JIBEX,US4791647096,479164709,FOUSA06GLE
27,B15791,Manor Bond,MNRBX,US5640573052,564057305,FOUSA02UTS
28,B16243,Mercer Core Fixed Income Y3,MCFIX,US58805V8660,58805V866,FOUSA05IFG
29,B17110,Monteagle Fixed Income I,,US6122633018,612263301,FOUSA0095M
30,B17384,Mutual of America Instl Bond,,US62823N2036,62823N203,FOUSA00GYB
31,B17699,Neuberger Berman Core Bond Inst,NCRLX,US64128K4058,64128K405,FOUSA00DP2
32,B18227,Nuveen Strategic Income I,FCBYX,US6706783908,670678390,FOUSA00I6U
33,B18401,PACE Mort-Backed Secs Fxd Inc Invests P,PCGTX,US69373W7728,69373W772,FOUSA00CZO
34,B18684,PGIM Core Bond Z,TAIBX,US8759218014,875921801,FOUSA00FFC
35,B19627,Principal Bond Market Index Instl,PNIIX,US7425533160,742553316,F000004583
36,B20869,RBC Impact Bond R6,RIBRX,US74933U7046,74933U704,F00000ZKD9
37,B20964,RiverPark Floating Rate CMBS Instl,RCRIX,US76882K6608,76882K660,F000010VVG
38,B21243,Ryan Labs Core Bond,,US90386H7926,90386H792,F00000UKBF
39,B21659,SEI Core Fixed Income F (SIMT),TRLVX,US7839255061,783925506,FOUSA00FIA
40,B21962,State Street Aggregate Bond Index K,SSFEX,US85749T8716,85749T871,F00000QT2G
41,B22059,Sterling Capital Interm US Govt I,BBGVX,US85917L6193,85917L619,FOUSA00BD4
42,B22079,Sterling Capital Quality Income Instl,SCSPX,US85917K7440,85917K744,F00000MLKS
43,B22456,T. Rowe Price Spectrum Income,RPSIX,US7799061061,779906106,FOUSA00EKJ
44,B23147,TIAA-CREF Core Impact Bond Instl,TSBIX,US87245R6725,87245R672,F00000ON4Y
45,B23177,Timothy Plan Fixed Income A,TFIAX,US8874328888,887432888,FOUSA007P5
46,B23644,Tributary Shrt Interm Bond Instl,FOSIX,US89609H8604,89609H860,FOUSA00CNU
47,B23912,Vanguard Core Bond Admiral,VCOBX,US9220208394,922020839,F00000WP2X
48,B24012,Vanguard Interm-Term Bond Index Inv,VBIIX,US9219373068,921937306,FOUSA00BB1
49,B26001,Wilmington Intermediate-Term Bond Instl,,US97181C8459,97181C845,FOUSA00KNF
