,as_of,ask_id,fund_size
0,2016-12,B00056,2.83723
1,2017-01,B00056,3.63115
2,2017-02,B00056,3.9494
3,2017-03,B00056,4.14895
4,2017-04,B00056,4.14187
5,2017-05,B00056,14.2442
6,2017-06,B00056,14.9189
7,2017-07,B00056,15.3768
8,2017-08,B00056,15.824
9,2017-09,B00056,16.5428
10,2017-10,B00056,17.3195
11,2017-11,B00056,17.7614
12,2017-12,B00056,18.0122
13,2018-01,B00056,17.1851
14,2018-02,B00056,16.807
15,2018-03,B00056,17.3635
16,2018-04,B00056,16.5325
17,2018-05,B00056,17.0222
18,2018-06,B00056,16.7414
19,2018-07,B00056,18.0959
20,2018-08,B00056,19.0805
21,2018-09,B00056,19.1438
22,2018-10,B00056,17.1644
23,2018-11,B00056,16.7117
24,2018-12,B00056,14.2403
25,2019-01,B00056,14.8557
26,2019-02,B00056,15.269
27,2019-03,B00056,15.0048
28,2019-04,B00056,15.5617
29,2019-05,B00056,14.2411
30,2019-06,B00056,13.9784
31,2019-07,B00056,14.432
32,2019-08,B00056,13.8736
33,2019-09,B00056,13.7775
34,2019-10,B00056,14.14
35,2019-11,B00056,14.01
36,2015-02,B00496,0.0001
37,2015-03,B00496,21.4094
38,2015-04,B00496,21.2402
39,2015-05,B00496,21.7741
40,2015-06,B00496,21.5393
41,2015-07,B00496,23.0097
42,2015-08,B00496,20.743
43,2015-09,B00496,20.1876
44,2015-10,B00496,22.1289
45,2015-11,B00496,22.343
46,2015-12,B00496,22.2989
47,2016-01,B00496,21.1025
48,2016-02,B00496,21.4676
49,2016-03,B00496,22.8035
50,2016-04,B00496,23.9974
51,2016-05,B00496,24.5933
52,2016-06,B00496,24.4039
53,2016-07,B00496,26.6043
54,2016-08,B00496,28.137
55,2016-09,B00496,28.1768
56,2016-10,B00496,27.596
57,2016-11,B00496,29.3405
58,2016-12,B00496,29.9257
59,2017-01,B00496,32.2084
60,2017-02,B00496,33.9679
61,2017-03,B00496,33.999
62,2017-04,B00496,35.3205
63,2017-05,B00496,36.2755
64,2017-06,B00496,36.4389
65,2017-07,B00496,37.8542
66,2017-08,B00496,42.5434
67,2017-09,B00496,43.144
68,2017-10,B00496,46.9665
69,2017-11,B00496,50.6667
70,2017-12,B00496,52.2823
71,2018-01,B00496,58.7497
72,2018-02,B00496,57.7961
73,2018-03,B00496,56.9364
74,2018-04,B00496,57.46
75,2018-05,B00496,60.2103
76,2018-06,B00496,60.9595
77,2018-07,B00496,62.3932
78,2018-08,B00496,66.2727
79,2018-09,B00496,66.0544
80,2018-10,B00496,60.0205
81,2018-11,B00496,60.5089
82,2018-12,B00496,55.1021
83,2019-01,B00496,60.2789
84,2019-02,B00496,62.9274
85,2019-03,B00496,64.2062
86,2019-04,B00496,67.479
87,2019-05,B00496,63.3729
88,2019-06,B00496,68.0151
89,2019-07,B00496,72.3265
90,2019-08,B00496,70.6722
91,2019-09,B00496,70.0376
92,2019-10,B00496,72.3044
93,2019-11,B00496,75.5265
94,2019-12,B00496,78.0195
95,2020-01,B00496,80.9618
96,2020-02,B00496,74.3626
97,2020-03,B00496,66.3501
98,2020-04,B00496,74.684
99,2020-05,B00496,79.9577
100,2020-06,B00496,83.6021
101,2020-07,B00496,89.1404
102,2020-08,B00496,97.8741
103,2020-09,B00496,92.9141
104,2020-10,B00496,90.4007
105,2020-11,B00496,99.9436
106,2020-12,B00496,106.346
107,2021-01,B00496,107.035
108,2021-02,B00496,108.17
109,2021-03,B00496,106.368
110,2021-04,B00496,112.054
111,2021-05,B00496,113.334
112,2021-06,B00496,120.551
113,2021-07,B00496,124.363
114,2021-08,B00496,128.787
115,2021-09,B00496,121.621
116,2021-10,B00496,140.185
117,2021-11,B00496,136.747
118,2021-12,B00496,141.464
119,2022-01,B00496,131.197
120,2022-02,B00496,126.284
121,2022-03,B00496,133.415
122,2022-04,B00496,119.331
