,as_of,ask_id,annual_report_net_expense_ratio
0,2017,B00056,0.7
1,2018,B00056,1.23
2,2019,B00056,1.27
3,2015,B00496,0.9
4,2016,B00496,0.9
5,2017,B00496,0.9
6,2018,B00496,0.9
7,2019,B00496,0.9
8,2015,B00698,0.22
9,2016,B00698,0.22
10,2017,B00698,0.22
11,2018,B00698,0.22
12,2019,B00698,0.24
13,2000,B01060,1.35
14,2001,B01060,1.35
15,2002,B01060,1.35
16,2003,B01060,1.35
17,2004,B01060,1.35
18,2005,B01060,1.36
19,2006,B01060,1.29
20,2007,B01060,1.25
21,2008,B01060,1.25
22,2009,B01060,1.25
23,2010,B01060,1.25
24,2011,B01060,1.32
25,2012,B01060,1.35
26,2013,B01060,1.35
27,2014,B01060,1.35
28,2015,B01060,1.35
29,2016,B01060,1.35
30,2017,B01060,1.35
31,2018,B01060,1.25
32,2019,B01060,1.2
33,2000,B01061,0.96
34,2001,B01061,0.95
35,2002,B01061,1.02
36,2003,B01061,1.14
37,2004,B01061,1.1
38,2005,B01061,1.02
39,2006,B01061,1.04
40,2007,B01061,1.02
41,2008,B01061,1.0
42,2009,B01061,1.1
43,2010,B01061,1.1
44,2011,B01061,1.03
45,2012,B01061,1.07
46,2013,B01061,1.03
47,2014,B01061,1.01
48,2015,B01061,0.98
49,2016,B01061,1.03
50,2017,B01061,1.02
51,2018,B01061,0.77
52,2019,B01061,0.78
53,2011,B01343,0.99
54,2012,B01343,0.99
55,2013,B01343,0.99
56,2014,B01343,0.99
57,2015,B01343,0.99
58,2016,B01343,0.99
59,2017,B01343,0.99
60,2018,B01343,0.99
61,2019,B01343,0.99
62,2016,B01637,0.64
63,2017,B01637,0.57
64,2018,B01637,0.54
65,2019,B01637,0.55
66,2010,B01855,1.0
67,2011,B01855,1.0
68,2012,B01855,1.0
69,2013,B01855,1.0
70,2014,B01855,1.0
71,2015,B01855,1.0
72,2016,B01855,1.0
73,2017,B01855,1.0
74,2018,B01855,1.0
75,2019,B01855,1.0
76,2000,B02943,0.64
77,2001,B02943,0.65
78,2002,B02943,0.67
79,2003,B02943,0.66
80,2004,B02943,0.63
81,2005,B02943,0.6
82,2006,B02943,0.58
83,2007,B02943,0.57
84,2008,B02943,0.61
85,2009,B02943,0.69
86,2010,B02943,0.64
87,2011,B02943,0.63
88,2012,B02943,0.65
89,2013,B02943,0.63
90,2014,B02943,0.61
91,2015,B02943,0.6
92,2016,B02943,0.61
93,2017,B02943,0.6
94,2018,B02943,0.59
95,2019,B02943,0.61
96,2000,B03459,1.0
97,2001,B03459,1.0
98,2002,B03459,1.0
99,2003,B03459,1.0
100,2004,B03459,1.0
101,2005,B03459,1.0
102,2006,B03459,1.0
103,2007,B03459,1.0
104,2008,B03459,1.0
105,2009,B03459,1.0
106,2010,B03459,1.01
107,2011,B03459,1.0
108,2012,B03459,1.0
109,2013,B03459,1.0
110,2014,B03459,1.0
111,2015,B03459,0.99
112,2016,B03459,0.99
113,2017,B03459,0.99
114,2018,B03459,0.97
115,2019,B03459,0.97
116,2006,B03731,0.9
117,2007,B03731,0.9
118,2008,B03731,0.91
119,2009,B03731,0.91
120,2010,B03731,0.91
121,2011,B03731,0.91
122,2012,B03731,0.91
123,2013,B03731,0.91
124,2014,B03731,0.9
125,2015,B03731,0.91
126,2016,B03731,0.9
127,2017,B03731,0.82
128,2018,B03731,0.82
129,2019,B03731,0.69
130,2006,B03784,0.82
131,2007,B03784,0.82
132,2008,B03784,0.83
133,2009,B03784,0.85
134,2010,B03784,0.85
135,2011,B03784,0.84
136,2012,B03784,0.84
137,2013,B03784,0.83
138,2014,B03784,0.82
139,2015,B03784,0.82
140,2016,B03784,0.83
141,2017,B03784,0.82
142,2018,B03784,0.82
143,2019,B03784,0.82
144,2017,B03952,0.69
145,2018,B03952,0.69
146,2019,B03952,0.67
147,2000,B04369,2.25
148,2001,B04369,2.25
149,2002,B04369,2.25
150,2003,B04369,1.79
151,2004,B04369,1.61
152,2005,B04369,1.63
153,2006,B04369,1.62
154,2007,B04369,1.49
155,2008,B04369,1.49
156,2009,B04369,1.49
157,2010,B04369,1.49
158,2011,B04369,1.49
159,2012,B04369,1.49
160,2013,B04369,1.49
161,2014,B04369,1.49
162,2015,B04369,1.49
163,2016,B04369,1.51
164,2017,B04369,1.5
165,2018,B04369,1.49
166,2019,B04369,1.49
167,2000,B05011,1.09
168,2001,B05011,1.08
169,2002,B05011,1.15
170,2003,B05011,1.12
171,2004,B05011,1.09
172,2005,B05011,1.13
173,2006,B05011,1.08
174,2007,B05011,1.07
175,2008,B05011,1.1
176,2009,B05011,1.19
177,2010,B05011,1.18
178,2011,B05011,1.16
179,2012,B05011,1.15
180,2013,B05011,1.15
181,2014,B05011,1.16
182,2015,B05011,1.14
183,2016,B05011,1.14
184,2017,B05011,1.11
185,2018,B05011,1.06
186,2019,B05011,1.04
187,2000,B05848,1.06
188,2001,B05848,1.11
189,2002,B05848,1.11
190,2003,B05848,1.12
191,2004,B05848,1.13
192,2005,B05848,1.13
193,2006,B05848,1.13
194,2007,B05848,1.13
195,2008,B05848,1.11
196,2009,B05848,1.13
197,2010,B05848,1.13
198,2011,B05848,1.13
199,2012,B05848,1.13
200,2013,B05848,1.07
201,2014,B05848,1.08
202,2015,B05848,1.04
203,2016,B05848,0.82
204,2017,B05848,0.78
205,2018,B05848,0.76
206,2019,B05848,0.75
207,2000,B05901,1.5
208,2001,B05901,1.5
209,2002,B05901,1.5
210,2003,B05901,1.5
211,2004,B05901,1.5
212,2006,B05901,1.5
213,2007,B05901,1.5
214,2008,B05901,1.48
215,2009,B05901,1.5
216,2010,B05901,1.5
217,2011,B05901,1.5
218,2012,B05901,1.4
219,2013,B05901,1.3
220,2014,B05901,1.3
221,2015,B05901,1.3
